"Sample","Diet","Genus_label_1","Abundance_1","Genus_label_2","Abundance_2","Genus_label_3","Abundance_3"
"SRR7212224","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212225","Vegetarian","Desulfovibrio",719,"Klebsiella",45,"Proteus",0
"SRR7212226","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212227","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212228","Vegetarian","Klebsiella",638,"Desulfovibrio",0,"Proteus",0
"SRR7212229","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212230","Vegetarian","Klebsiella",57,"Desulfovibrio",0,"Proteus",0
"SRR7212231","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212232","Vegetarian","Desulfovibrio",297,"Klebsiella",0,"Proteus",0
"SRR7212233","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212234","Vegetarian","Klebsiella",167,"Desulfovibrio",0,"Proteus",0
"SRR7212235","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212236","Vegetarian","Klebsiella",681,"Desulfovibrio",0,"Proteus",0
"SRR7212237","Vegetarian","Klebsiella",244,"Desulfovibrio",0,"Proteus",0
"SRR7212238","Vegetarian","Klebsiella",702,"Desulfovibrio",0,"Proteus",0
"SRR7212239","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212240","Vegetarian","Klebsiella",209,"Desulfovibrio",0,"Proteus",0
"SRR7212241","Vegetarian","Klebsiella",104,"Desulfovibrio",0,"Proteus",0
"SRR7212242","Vegetarian","Klebsiella",2863,"Desulfovibrio",0,"Proteus",0
"SRR7212243","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212244","Vegetarian","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212245","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212303","Omnivore","Klebsiella",731,"Desulfovibrio",100,"Proteus",0
"SRR7212304","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212305","Omnivore","Klebsiella",847,"Desulfovibrio",0,"Proteus",0
"SRR7212306","Omnivore","Klebsiella",290,"Desulfovibrio",0,"Proteus",0
"SRR7212307","Omnivore","Klebsiella",1731,"Desulfovibrio",0,"Proteus",0
"SRR7212308","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212309","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212310","Omnivore","Klebsiella",213,"Desulfovibrio",169,"Proteus",0
"SRR7212311","Omnivore","Klebsiella",126,"Desulfovibrio",0,"Proteus",0
"SRR7212312","Omnivore","Klebsiella",209,"Desulfovibrio",0,"Proteus",0
"SRR7212313","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212314","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212315","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212316","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212317","Omnivore","Desulfovibrio",172,"Klebsiella",72,"Proteus",0
"SRR7212318","Omnivore","Klebsiella",287,"Desulfovibrio",0,"Proteus",0
"SRR7212319","Omnivore","Desulfovibrio",31,"Klebsiella",0,"Proteus",0
"SRR7212320","Omnivore","Desulfovibrio",140,"Klebsiella",0,"Proteus",0
"SRR7212321","Omnivore","Klebsiella",200,"Desulfovibrio",0,"Proteus",0
"SRR7212322","Omnivore","Desulfovibrio",237,"Klebsiella",0,"Proteus",0
"SRR7212323","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212324","Omnivore","Desulfovibrio",8,"Klebsiella",0,"Proteus",0
"SRR7212325","Omnivore","Klebsiella",558,"Desulfovibrio",0,"Proteus",0
"SRR7212326","Omnivore","Desulfovibrio",0,"Klebsiella",0,"Proteus",0
"SRR7212327","Omnivore","Klebsiella",1569,"Desulfovibrio",0,"Proteus",0
"SRR7212328","Omnivore","Desulfovibrio",300,"Klebsiella",0,"Proteus",0
"SRR7212329","Omnivore","Klebsiella",870,"Desulfovibrio",0,"Proteus",0
"SRR7212330","Omnivore","Klebsiella",4199,"Desulfovibrio",344,"Proteus",0
"SRR7212331","Omnivore","Klebsiella",60,"Desulfovibrio",0,"Proteus",0
"SRR7212332","Omnivore","Desulfovibrio",1286,"Klebsiella",150,"Proteus",0
"SRR7212333","Omnivore","Desulfovibrio",1221,"Klebsiella",117,"Proteus",0
"SRR7212334","Omnivore","Klebsiella",607,"Proteus",29,"Desulfovibrio",0
"SRR7212335","Omnivore","Klebsiella",2722,"Desulfovibrio",23,"Proteus",0
"SRR7212336","Omnivore","Klebsiella",1779,"Desulfovibrio",0,"Proteus",0
